,Failure_ID,Device_Type,Brand,Model_Name,Usage_Duration,Failure_Type,Warranty_Status,Repair_Cost,Customer_Rating,Comments
19,FAIL00020,Gaming Console,Lenovo,Model-128,57.0,Screen Crack,No,1004.06,1.5,Not satisfied
20,FAIL00021,Smartphone,Samsung,Model-986,5.0,Battery Issue,No,1977.82,1.4,Very bad service
21,FAIL00022,Gaming Console,Lenovo,Model-379,1.0,Battery Issue,No,3974.86,2.5,Very bad service
22,FAIL00023,Laptop,Dell,Model-800,38.0,Software Crash,No,1614.77,4.8,Very bad service
23,FAIL00024,Laptop,OnePlus,Model-165,34.0,Software Crash,Yes,3867.14,1.5,Very bad service
24,FAIL00025,Laptop,Samsung,Model-283,12.0,Battery Issue,Yes,3575.51,3.1,Not satisfied
25,FAIL00026,Laptop,Samsung,Model-109,30.0,Speaker Malfunction,Yes,995.44,1.9,Fixed quickly
26,FAIL00027,Gaming Console,Samsung,Model-202,11.0,Screen Crack,Yes,3514.6,1.6,Perfect repair
27,FAIL00028,Tablet,Samsung,Model-808,30.0,Overheating,Yes,2556.98,1.6,Perfect repair
28,FAIL00029,Smartphone,OnePlus,Model-631,44.0,Speaker Malfunction,Yes,4545.11,3.8,Not satisfied
29,FAIL00030,Smartwatch,Apple,Model-521,46.0,Screen Crack,No,1300.06,3.6,Not satisfied
30,FAIL00031,Smartwatch,Dell,Model-199,7.0,Battery Issue,Yes,4984.79,3.3,Perfect repair
32,FAIL00033,Gaming Console,OnePlus,Model-335,30.0,Speaker Malfunction,No,2556.98,3.3,Perfect repair
33,FAIL00034,Laptop,Apple,Model-755,26.0,Speaker Malfunction,Yes,3637.18,2.5,Fixed quickly
34,FAIL00035,Gaming Console,Samsung,Model-281,30.0,Software Crash,Yes,2556.98,2.5,Very bad service
35,FAIL00036,Tablet,Sony,Model-478,33.0,Software Crash,No,3109.62,1.8,Not satisfied
36,FAIL00037,Smartphone,HP,Model-486,30.0,Speaker Malfunction,Yes,2556.98,1.8,Had to replace
37,FAIL00038,Laptop,Dell,Model-163,5.0,Software Crash,No,256.6,1.5,Not satisfied
38,FAIL00039,Smartphone,Dell,Model-992,37.0,Overheating,No,3703.14,3.2,Not satisfied
39,FAIL00040,Tablet,Apple,Model-192,30.0,Software Crash,Yes,2556.98,3.2,Not satisfied
40,FAIL00041,Smartwatch,Samsung,Model-639,23.0,Software Crash,No,578.66,3.0,Fixed quickly
41,FAIL00042,Laptop,Samsung,Model-157,30.0,Battery Issue,No,4662.66,4.4,Fixed quickly
42,FAIL00043,Smartwatch,Lenovo,Model-653,36.0,Overheating,No,4638.75,4.7,Fixed quickly
43,FAIL00044,Smartphone,Apple,Model-548,1.0,Battery Issue,No,3247.2,4.4,Perfect repair
45,FAIL00046,Smartwatch,Lenovo,Model-174,30.0,Screen Crack,Yes,2556.98,4.4,Not satisfied
46,FAIL00047,Tablet,OnePlus,Model-299,1.0,Speaker Malfunction,Yes,1281.17,3.4,Not satisfied
47,FAIL00048,Smartphone,Dell,Model-765,10.0,Battery Issue,Yes,152.1,1.5,Had to replace
48,FAIL00049,Gaming Console,Apple,Model-794,7.0,Speaker Malfunction,Yes,4507.66,1.3,Perfect repair
49,FAIL00050,Smartphone,HP,Model-924,38.0,Overheating,No,1061.09,1.0,Very bad service
50,FAIL00051,Smartphone,OnePlus,Model-179,59.0,Software Crash,No,3185.84,1.9,Perfect repair
51,FAIL00052,Gaming Console,OnePlus,Model-318,3.0,Software Crash,No,1267.9,4.0,Not satisfied
52,FAIL00053,Smartphone,Dell,Model-575,42.0,Software Crash,No,2289.72,2.9,Not satisfied
53,FAIL00054,Tablet,Samsung,Model-863,7.0,Overheating,No,2074.98,1.7,Not satisfied
54,FAIL00055,Gaming Console,OnePlus,Model-880,8.0,Battery Issue,No,1937.29,2.0,Not satisfied
55,FAIL00056,Smartphone,Lenovo,Model-140,34.0,Speaker Malfunction,No,1657.34,2.1,Had to replace
56,FAIL00057,Gaming Console,Lenovo,Model-580,40.0,Battery Issue,Yes,174.57,4.3,Perfect repair
57,FAIL00058,Smartphone,Sony,Model-180,42.0,Speaker Malfunction,No,1151.63,2.1,Had to replace
58,FAIL00059,Smartphone,Lenovo,Model-964,54.0,Speaker Malfunction,Yes,4971.36,1.8,Had to replace
59,FAIL00060,Laptop,Lenovo,Model-787,32.0,Software Crash,Yes,137.97,2.7,Very bad service
60,FAIL00061,Smartphone,Sony,Model-211,32.0,Screen Crack,Yes,452.23,4.5,Fixed quickly
61,FAIL00062,Laptop,Dell,Model-312,46.0,Software Crash,No,258.28,4.0,Had to replace
62,FAIL00063,Smartphone,Dell,Model-473,5.0,Speaker Malfunction,Yes,2618.9,3.7,Had to replace
63,FAIL00064,Tablet,Samsung,Model-400,27.0,Overheating,Yes,280.64,4.7,Very bad service
64,FAIL00065,Smartwatch,Sony,Model-691,13.0,Overheating,Yes,2728.84,4.2,Perfect repair
66,FAIL00067,Smartwatch,Apple,Model-362,53.0,Battery Issue,No,4400.72,1.2,Had to replace
67,FAIL00068,Smartwatch,OnePlus,Model-898,55.0,Speaker Malfunction,No,1858.91,1.4,Had to replace
68,FAIL00069,Tablet,Apple,Model-719,52.0,Overheating,No,4117.3,2.5,Had to replace
69,FAIL00070,Tablet,Apple,Model-445,12.0,Speaker Malfunction,Yes,3552.23,2.4,Perfect repair
70,FAIL00071,Tablet,Lenovo,Model-307,10.0,Screen Crack,No,4850.63,4.4,Not satisfied
71,FAIL00072,Smartwatch,Sony,Model-185,1.0,Software Crash,No,2268.27,4.9,Perfect repair
72,FAIL00073,Smartphone,Sony,Model-716,21.0,Software Crash,No,4778.18,4.8,Perfect repair
73,FAIL00074,Gaming Console,Samsung,Model-884,59.0,Overheating,Yes,3268.73,3.6,Perfect repair
74,FAIL00075,Tablet,Dell,Model-643,7.0,Speaker Malfunction,No,1975.3,2.6,Perfect repair
76,FAIL00077,Smartphone,Sony,Model-443,17.0,Battery Issue,Yes,3678.43,1.1,Fixed quickly
77,FAIL00078,Tablet,Dell,Model-200,37.0,Screen Crack,No,4436.53,4.5,Fixed quickly
78,FAIL00079,Tablet,HP,Model-777,48.0,Overheating,Yes,2088.8,4.6,Not satisfied
79,FAIL00080,Tablet,Lenovo,Model-796,1.0,Overheating,No,4720.38,1.8,Not satisfied
80,FAIL00081,Gaming Console,Apple,Model-236,30.0,Overheating,Yes,2556.98,1.8,Fixed quickly
81,FAIL00082,Smartphone,Lenovo,Model-807,13.0,Screen Crack,Yes,3874.85,3.5,Fixed quickly
83,FAIL00084,Smartphone,Sony,Model-962,49.0,Battery Issue,Yes,1177.43,2.4,Not satisfied
84,FAIL00085,Smartphone,Lenovo,Model-995,57.0,Software Crash,No,1084.52,2.8,Had to replace
85,FAIL00086,Smartwatch,Apple,Model-320,28.0,Battery Issue,No,3441.33,2.5,Had to replace
86,FAIL00087,Smartphone,Sony,Model-528,42.0,Software Crash,No,3197.52,1.4,Had to replace
87,FAIL00088,Gaming Console,Dell,Model-206,19.0,Speaker Malfunction,No,4159.16,3.9,Fixed quickly
88,FAIL00089,Gaming Console,OnePlus,Model-548,32.0,Screen Crack,No,2753.13,1.6,Fixed quickly
89,FAIL00090,Gaming Console,Sony,Model-108,30.0,Software Crash,Yes,2556.98,1.6,Very bad service
90,FAIL00091,Gaming Console,Samsung,Model-804,18.0,Software Crash,Yes,933.17,2.3,Not satisfied
91,FAIL00092,Tablet,Sony,Model-933,8.0,Overheating,Yes,2772.1,2.0,Fixed quickly
92,FAIL00093,Smartphone,Apple,Model-468,30.0,Software Crash,Yes,2556.98,2.0,Fixed quickly
93,FAIL00094,Smartwatch,Dell,Model-808,52.0,Software Crash,No,3441.48,4.1,Had to replace
94,FAIL00095,Tablet,Sony,Model-897,35.0,Screen Crack,No,4855.91,2.2,Had to replace
95,FAIL00096,Laptop,Lenovo,Model-455,44.0,Speaker Malfunction,Yes,959.65,4.6,Had to replace
96,FAIL00097,Tablet,HP,Model-467,38.0,Battery Issue,No,769.59,3.7,Had to replace
97,FAIL00098,Tablet,Dell,Model-343,58.0,Overheating,Yes,2420.5,1.5,Had to replace
98,FAIL00099,Tablet,Dell,Model-366,49.0,Speaker Malfunction,Yes,2287.34,1.6,Had to replace
99,FAIL00100,Tablet,Lenovo,Model-245,30.0,Screen Crack,Yes,2556.98,1.6,Not satisfied
100,FAIL00101,Smartwatch,HP,Model-133,48.0,Software Crash,Yes,1523.12,4.1,Not satisfied
101,FAIL00102,Gaming Console,Sony,Model-787,48.0,Battery Issue,Yes,777.28,4.7,Very bad service
102,FAIL00103,Smartphone,Samsung,Model-361,30.0,Screen Crack,Yes,2556.98,4.7,Perfect repair
103,FAIL00104,Gaming Console,Lenovo,Model-124,23.0,Software Crash,No,1808.25,1.1,Fixed quickly
104,FAIL00105,Smartwatch,Apple,Model-222,26.0,Battery Issue,No,2095.51,1.6,Fixed quickly
105,FAIL00106,Smartwatch,OnePlus,Model-892,40.0,Speaker Malfunction,No,2164.94,3.1,Not satisfied
106,FAIL00107,Tablet,Dell,Model-555,55.0,Software Crash,No,726.36,3.3,Perfect repair
107,FAIL00108,Tablet,Lenovo,Model-861,48.0,Speaker Malfunction,Yes,1070.03,4.4,Perfect repair
108,FAIL00109,Smartphone,Samsung,Model-343,53.0,Software Crash,No,162.87,2.4,Not satisfied
109,FAIL00110,Tablet,Apple,Model-502,58.0,Screen Crack,No,2536.89,4.4,Not satisfied
110,FAIL00111,Smartphone,Apple,Model-722,23.0,Speaker Malfunction,Yes,2815.93,1.6,Not satisfied
111,FAIL00112,Smartwatch,OnePlus,Model-673,50.0,Speaker Malfunction,Yes,1146.23,1.8,Not satisfied
112,FAIL00113,Smartphone,Sony,Model-465,30.0,Speaker Malfunction,No,2556.98,1.8,Perfect repair
113,FAIL00114,Smartphone,Lenovo,Model-352,54.0,Software Crash,Yes,3486.08,2.0,Not satisfied
114,FAIL00115,Laptop,Samsung,Model-772,56.0,Battery Issue,No,1370.41,4.1,Had to replace
115,FAIL00116,Tablet,Lenovo,Model-409,45.0,Screen Crack,Yes,1899.32,2.4,Not satisfied
116,FAIL00117,Gaming Console,Dell,Model-469,7.0,Software Crash,Yes,3550.06,1.4,Not satisfied
117,FAIL00118,Laptop,Dell,Model-577,30.0,Software Crash,No,2556.98,1.4,Not satisfied
118,FAIL00119,Laptop,Lenovo,Model-450,55.0,Screen Crack,Yes,2580.27,1.5,Perfect repair
119,FAIL00120,Laptop,Sony,Model-900,30.0,Battery Issue,No,2556.98,1.5,Fixed quickly
120,FAIL00121,Gaming Console,Dell,Model-701,17.0,Battery Issue,No,444.86,2.3,Not satisfied
121,FAIL00122,Gaming Console,Lenovo,Model-661,13.0,Screen Crack,Yes,2677.76,3.0,Fixed quickly
122,FAIL00123,Laptop,Apple,Model-243,38.0,Speaker Malfunction,No,3528.75,4.5,Very bad service
123,FAIL00124,Smartwatch,OnePlus,Model-150,48.0,Battery Issue,No,1453.12,2.6,Very bad service
124,FAIL00125,Laptop,Lenovo,Model-253,14.0,Battery Issue,No,1509.45,1.4,Had to replace
125,FAIL00126,Smartphone,OnePlus,Model-661,7.0,Screen Crack,Yes,2542.99,4.5,Had to replace
126,FAIL00127,Smartphone,OnePlus,Model-130,50.0,Software Crash,Yes,1770.52,1.5,Perfect repair
128,FAIL00129,Smartphone,Apple,Model-706,59.0,Software Crash,Yes,3485.99,2.8,Had to replace
129,FAIL00130,Tablet,OnePlus,Model-774,30.0,Battery Issue,No,2556.98,2.8,Not satisfied
130,FAIL00131,Tablet,Apple,Model-423,7.0,Battery Issue,Yes,234.7,1.4,Fixed quickly
131,FAIL00132,Laptop,Lenovo,Model-840,27.0,Overheating,No,556.64,4.0,Not satisfied
132,FAIL00133,Tablet,HP,Model-363,17.0,Software Crash,Yes,2578.13,3.4,Not satisfied
133,FAIL00134,Tablet,OnePlus,Model-937,34.0,Screen Crack,Yes,4682.1,1.9,Perfect repair
134,FAIL00135,Laptop,HP,Model-179,46.0,Software Crash,No,1498.28,2.7,Had to replace
135,FAIL00136,Tablet,Lenovo,Model-148,11.0,Screen Crack,Yes,216.95,4.4,Not satisfied
136,FAIL00137,Smartwatch,Sony,Model-207,9.0,Battery Issue,No,4088.04,3.2,Not satisfied
137,FAIL00138,Tablet,OnePlus,Model-689,39.0,Battery Issue,Yes,3882.06,1.5,Perfect repair
138,FAIL00139,Gaming Console,Apple,Model-416,3.0,Speaker Malfunction,Yes,4368.22,4.0,Not satisfied
139,FAIL00140,Smartwatch,Sony,Model-949,23.0,Software Crash,No,2384.31,1.5,Very bad service
140,FAIL00141,Laptop,HP,Model-793,56.0,Battery Issue,No,470.85,2.4,Perfect repair
141,FAIL00142,Laptop,Sony,Model-579,30.0,Speaker Malfunction,No,2556.98,2.4,Very bad service
142,FAIL00143,Smartwatch,OnePlus,Model-655,50.0,Battery Issue,Yes,4805.9,2.6,Perfect repair
143,FAIL00144,Laptop,Samsung,Model-260,4.0,Speaker Malfunction,No,4294.59,4.4,Had to replace
144,FAIL00145,Gaming Console,Sony,Model-515,57.0,Software Crash,Yes,3072.88,4.1,Had to replace
145,FAIL00146,Smartphone,OnePlus,Model-818,45.0,Screen Crack,No,353.84,4.6,Fixed quickly
146,FAIL00147,Smartphone,Samsung,Model-327,16.0,Speaker Malfunction,Yes,426.56,3.2,Fixed quickly
147,FAIL00148,Laptop,Sony,Model-893,59.0,Battery Issue,Yes,997.41,3.6,Fixed quickly
148,FAIL00149,Gaming Console,Samsung,Model-962,21.0,Overheating,No,3327.9,3.5,Fixed quickly
149,FAIL00150,Laptop,Samsung,Model-614,25.0,Overheating,Yes,4866.74,1.2,Not satisfied
150,FAIL00151,Smartphone,Samsung,Model-331,5.0,Software Crash,Yes,2938.89,3.4,Very bad service
151,FAIL00152,Gaming Console,Samsung,Model-711,1.0,Screen Crack,No,4206.26,2.9,Fixed quickly
152,FAIL00153,Laptop,OnePlus,Model-733,46.0,Overheating,No,3852.96,2.4,Fixed quickly
153,FAIL00154,Tablet,Dell,Model-193,30.0,Overheating,Yes,2556.98,2.4,Fixed quickly
154,FAIL00155,Smartphone,Dell,Model-842,37.0,Speaker Malfunction,No,2956.82,1.5,Fixed quickly
155,FAIL00156,Smartphone,Lenovo,Model-134,46.0,Screen Crack,No,3566.13,3.0,Very bad service
156,FAIL00157,Gaming Console,OnePlus,Model-125,20.0,Overheating,No,1678.95,1.7,Very bad service
157,FAIL00158,Tablet,Sony,Model-298,30.0,Screen Crack,Yes,2556.98,1.7,Very bad service
158,FAIL00159,Tablet,HP,Model-549,33.0,Speaker Malfunction,Yes,734.03,4.1,Had to replace
159,FAIL00160,Smartwatch,Apple,Model-896,36.0,Screen Crack,Yes,4023.78,2.2,Had to replace
160,FAIL00161,Smartphone,Dell,Model-338,32.0,Speaker Malfunction,No,1622.92,3.5,Not satisfied
161,FAIL00162,Smartwatch,Samsung,Model-216,19.0,Software Crash,Yes,1593.09,1.2,Perfect repair
162,FAIL00163,Tablet,Dell,Model-760,39.0,Screen Crack,Yes,3674.64,4.6,Had to replace
163,FAIL00164,Gaming Console,OnePlus,Model-967,30.0,Screen Crack,Yes,2556.98,4.6,Fixed quickly
164,FAIL00165,Laptop,Samsung,Model-497,45.0,Overheating,Yes,3677.24,2.4,Fixed quickly
165,FAIL00166,Laptop,HP,Model-297,57.0,Software Crash,No,1729.89,3.2,Very bad service
166,FAIL00167,Smartphone,OnePlus,Model-853,30.0,Screen Crack,No,2556.98,3.2,Perfect repair
167,FAIL00168,Tablet,Dell,Model-950,36.0,Overheating,Yes,3016.05,1.3,Very bad service
168,FAIL00169,Smartwatch,Apple,Model-800,42.0,Overheating,No,1861.47,2.0,Very bad service
169,FAIL00170,Gaming Console,Apple,Model-493,24.0,Speaker Malfunction,No,1798.43,1.0,Not satisfied
170,FAIL00171,Laptop,OnePlus,Model-746,32.0,Overheating,Yes,486.58,4.1,Very bad service
171,FAIL00172,Laptop,Dell,Model-929,9.0,Battery Issue,Yes,919.27,4.9,Not satisfied
173,FAIL00174,Smartwatch,OnePlus,Model-573,24.0,Speaker Malfunction,Yes,1641.39,3.9,Not satisfied
174,FAIL00175,Smartphone,Dell,Model-912,15.0,Speaker Malfunction,Yes,1363.82,3.1,Perfect repair
176,FAIL00177,Gaming Console,HP,Model-344,30.0,Screen Crack,No,2556.98,3.1,Fixed quickly
177,FAIL00178,Smartwatch,Sony,Model-279,45.0,Overheating,Yes,1431.8,4.8,Very bad service
178,FAIL00179,Smartphone,Dell,Model-691,22.0,Overheating,Yes,1605.04,4.6,Had to replace
179,FAIL00180,Tablet,Dell,Model-571,30.0,Screen Crack,No,2556.98,4.6,Very bad service
180,FAIL00181,Smartwatch,Apple,Model-400,55.0,Speaker Malfunction,No,2445.3,1.5,Very bad service
181,FAIL00182,Laptop,OnePlus,Model-741,30.0,Speaker Malfunction,No,2556.98,1.5,Very bad service
182,FAIL00183,Laptop,Apple,Model-103,10.0,Battery Issue,Yes,388.85,3.9,Had to replace
183,FAIL00184,Smartwatch,OnePlus,Model-726,2.0,Battery Issue,No,2588.83,2.9,Fixed quickly
184,FAIL00185,Smartwatch,Apple,Model-573,42.0,Overheating,Yes,2186.54,4.7,Fixed quickly
185,FAIL00186,Smartwatch,Apple,Model-365,39.0,Speaker Malfunction,No,4363.71,1.1,Perfect repair
186,FAIL00187,Laptop,Dell,Model-580,42.0,Software Crash,Yes,2662.12,4.8,Perfect repair
187,FAIL00188,Gaming Console,OnePlus,Model-583,7.0,Screen Crack,Yes,4359.03,4.8,Perfect repair
188,FAIL00189,Smartphone,Samsung,Model-307,1.0,Speaker Malfunction,No,3798.58,4.1,Perfect repair
189,FAIL00190,Smartwatch,OnePlus,Model-714,9.0,Overheating,No,161.84,3.0,Not satisfied
190,FAIL00191,Smartphone,OnePlus,Model-248,42.0,Screen Crack,Yes,4867.89,2.4,Not satisfied
191,FAIL00192,Tablet,Apple,Model-488,26.0,Overheating,Yes,458.8,4.8,Not satisfied
192,FAIL00193,Smartphone,Lenovo,Model-912,15.0,Overheating,No,271.47,3.8,Very bad service
193,FAIL00194,Smartphone,HP,Model-275,45.0,Screen Crack,Yes,1619.56,4.1,Not satisfied
194,FAIL00195,Tablet,HP,Model-617,57.0,Battery Issue,No,2178.73,4.2,Perfect repair
195,FAIL00196,Tablet,Lenovo,Model-381,22.0,Software Crash,Yes,1194.15,4.4,Very bad service
196,FAIL00197,Smartwatch,Lenovo,Model-246,23.0,Overheating,Yes,2536.25,3.0,Very bad service
197,FAIL00198,Tablet,OnePlus,Model-277,3.0,Speaker Malfunction,No,4842.87,4.8,Fixed quickly
198,FAIL00199,Tablet,Dell,Model-526,46.0,Software Crash,Yes,2821.73,2.2,Fixed quickly
199,FAIL00200,Laptop,Apple,Model-690,11.0,Speaker Malfunction,Yes,647.66,4.2,Fixed quickly
200,FAIL00201,Smartphone,Sony,Model-890,56.0,Overheating,Yes,4568.24,1.5,Fixed quickly
201,FAIL00202,Gaming Console,Lenovo,Model-476,51.0,Battery Issue,Yes,639.06,2.5,Fixed quickly
202,FAIL00203,Smartphone,Apple,Model-396,22.0,Overheating,No,2341.69,2.8,Had to replace
203,FAIL00204,Gaming Console,Dell,Model-354,40.0,Overheating,No,2362.47,3.2,Perfect repair
204,FAIL00205,Tablet,Lenovo,Model-566,14.0,Speaker Malfunction,No,3668.21,1.3,Perfect repair
205,FAIL00206,Laptop,Sony,Model-847,45.0,Battery Issue,No,3430.5,2.6,Very bad service
206,FAIL00207,Smartphone,Dell,Model-468,16.0,Screen Crack,Yes,3120.72,2.2,Had to replace
207,FAIL00208,Smartphone,Samsung,Model-373,34.0,Battery Issue,Yes,3219.08,2.8,Had to replace
208,FAIL00209,Gaming Console,HP,Model-504,56.0,Speaker Malfunction,Yes,3826.42,3.9,Fixed quickly
209,FAIL00210,Smartwatch,Lenovo,Model-444,5.0,Overheating,No,944.02,1.6,Fixed quickly
210,FAIL00211,Smartphone,Dell,Model-678,53.0,Screen Crack,Yes,4884.17,3.7,Fixed quickly
211,FAIL00212,Tablet,Apple,Model-180,30.0,Software Crash,No,2556.98,3.7,Very bad service
212,FAIL00213,Gaming Console,Apple,Model-370,2.0,Battery Issue,Yes,3635.38,2.2,Very bad service
213,FAIL00214,Smartphone,Dell,Model-113,11.0,Speaker Malfunction,No,2936.56,2.6,Perfect repair
214,FAIL00215,Smartwatch,HP,Model-838,51.0,Software Crash,No,4389.54,4.4,Fixed quickly
215,FAIL00216,Smartphone,Dell,Model-263,41.0,Speaker Malfunction,Yes,2977.48,1.3,Not satisfied
216,FAIL00217,Gaming Console,Dell,Model-697,59.0,Battery Issue,Yes,568.57,3.3,Perfect repair
217,FAIL00218,Smartwatch,Apple,Model-483,45.0,Overheating,No,4381.2,3.9,Fixed quickly
219,FAIL00220,Smartphone,OnePlus,Model-115,41.0,Speaker Malfunction,Yes,2655.91,3.1,Fixed quickly
220,FAIL00221,Smartwatch,Apple,Model-500,30.0,Software Crash,Yes,2556.98,3.1,Fixed quickly
221,FAIL00222,Tablet,OnePlus,Model-606,49.0,Overheating,Yes,692.76,2.4,Very bad service
222,FAIL00223,Gaming Console,Lenovo,Model-648,48.0,Battery Issue,Yes,699.0,2.7,Fixed quickly
223,FAIL00224,Smartwatch,HP,Model-315,23.0,Speaker Malfunction,No,4342.81,2.6,Had to replace
224,FAIL00225,Gaming Console,Apple,Model-555,1.0,Software Crash,Yes,1794.44,3.3,Very bad service
225,FAIL00226,Laptop,OnePlus,Model-763,10.0,Software Crash,Yes,1829.59,4.5,Perfect repair
226,FAIL00227,Gaming Console,Sony,Model-551,6.0,Screen Crack,Yes,3457.74,2.9,Very bad service
227,FAIL00228,Laptop,Sony,Model-963,30.0,Overheating,Yes,2556.98,2.9,Very bad service
228,FAIL00229,Smartphone,Dell,Model-611,19.0,Screen Crack,No,4115.25,3.7,Fixed quickly
229,FAIL00230,Smartphone,Dell,Model-727,29.0,Software Crash,Yes,3273.74,1.8,Fixed quickly
230,FAIL00231,Smartphone,Samsung,Model-166,15.0,Screen Crack,Yes,3617.11,4.6,Not satisfied
231,FAIL00232,Tablet,Sony,Model-137,30.0,Overheating,Yes,2556.98,4.6,Fixed quickly
232,FAIL00233,Smartphone,HP,Model-925,49.0,Overheating,Yes,4176.04,2.4,Fixed quickly
233,FAIL00234,Tablet,OnePlus,Model-315,8.0,Screen Crack,Yes,1788.66,1.8,Perfect repair
234,FAIL00235,Tablet,OnePlus,Model-958,25.0,Overheating,Yes,1266.38,3.6,Perfect repair
235,FAIL00236,Laptop,Dell,Model-122,54.0,Software Crash,No,1063.6,4.8,Perfect repair
236,FAIL00237,Smartphone,Dell,Model-568,24.0,Speaker Malfunction,Yes,3057.62,4.5,Not satisfied
237,FAIL00238,Tablet,HP,Model-887,38.0,Screen Crack,No,1261.67,1.3,Perfect repair
238,FAIL00239,Gaming Console,OnePlus,Model-166,52.0,Battery Issue,No,736.85,2.1,Very bad service
239,FAIL00240,Laptop,Sony,Model-438,12.0,Overheating,No,4826.03,3.7,Had to replace
240,FAIL00241,Smartphone,OnePlus,Model-395,1.0,Battery Issue,Yes,1952.41,3.2,Fixed quickly
242,FAIL00243,Tablet,HP,Model-100,39.0,Screen Crack,No,3551.65,4.5,Not satisfied
243,FAIL00244,Laptop,Samsung,Model-504,30.0,Battery Issue,No,2556.98,4.5,Fixed quickly
244,FAIL00245,Laptop,Samsung,Model-661,30.0,Software Crash,No,2556.98,4.5,Perfect repair
245,FAIL00246,Laptop,Lenovo,Model-621,56.0,Speaker Malfunction,No,4223.68,3.4,Not satisfied
246,FAIL00247,Smartphone,OnePlus,Model-385,43.0,Overheating,Yes,4468.81,2.4,Perfect repair
247,FAIL00248,Tablet,OnePlus,Model-384,41.0,Overheating,Yes,995.38,1.8,Fixed quickly
248,FAIL00249,Gaming Console,Dell,Model-102,33.0,Screen Crack,No,3179.55,4.6,Perfect repair
249,FAIL00250,Gaming Console,Sony,Model-335,44.0,Battery Issue,No,2858.11,2.7,Fixed quickly
250,FAIL00251,Gaming Console,Samsung,Model-239,30.0,Speaker Malfunction,Yes,4648.87,1.1,Perfect repair
251,FAIL00252,Laptop,HP,Model-704,40.0,Overheating,Yes,3273.52,2.3,Perfect repair
252,FAIL00253,Laptop,Sony,Model-311,30.0,Battery Issue,Yes,2556.98,2.3,Had to replace
253,FAIL00254,Laptop,Apple,Model-143,30.0,Screen Crack,No,3606.8,1.7,Had to replace
254,FAIL00255,Smartphone,Apple,Model-688,58.0,Speaker Malfunction,No,2687.19,3.9,Not satisfied
255,FAIL00256,Tablet,Lenovo,Model-614,19.0,Screen Crack,Yes,1801.73,1.7,Perfect repair
256,FAIL00257,Gaming Console,HP,Model-501,20.0,Battery Issue,Yes,3077.58,4.5,Fixed quickly
257,FAIL00258,Tablet,Apple,Model-925,38.0,Screen Crack,Yes,4815.27,3.4,Very bad service
258,FAIL00259,Gaming Console,Sony,Model-683,53.0,Overheating,No,4105.42,4.2,Perfect repair
259,FAIL00260,Tablet,Sony,Model-668,4.0,Screen Crack,Yes,3737.87,3.7,Perfect repair
260,FAIL00261,Laptop,Dell,Model-864,54.0,Software Crash,No,474.12,4.1,Very bad service
261,FAIL00262,Smartphone,Sony,Model-242,30.0,Software Crash,No,2556.98,4.1,Not satisfied
262,FAIL00263,Gaming Console,Samsung,Model-884,25.0,Software Crash,No,3100.3,3.4,Had to replace
263,FAIL00264,Smartwatch,OnePlus,Model-196,11.0,Overheating,Yes,255.38,2.5,Not satisfied
264,FAIL00265,Gaming Console,Lenovo,Model-371,31.0,Screen Crack,Yes,3248.63,3.9,Not satisfied
265,FAIL00266,Smartphone,Dell,Model-141,12.0,Overheating,No,1579.46,2.2,Perfect repair
266,FAIL00267,Tablet,Samsung,Model-343,41.0,Software Crash,No,888.65,2.3,Perfect repair
